Time,MarkerID,Error,PID_Out(step_deg),Note
1754648550.4635434,heart,-0.12891000000000002,-0.5156400000000001,tracking
1754648550.4953556,heart,-0.12578,-0.3555350694746299,tracking
1754648550.526723,heart,-0.12344,-0.3818600346599369,tracking
1754648550.5584824,heart,-0.12344,-0.49376,tracking
1754648550.5888524,heart,-0.11953000000000003,-0.2850017723208344,tracking
1754648550.6195738,heart,-0.11797000000000002,-0.39571166070389174,tracking
1754648550.6511269,heart,-0.11797000000000002,-0.4718800000000001,tracking
1754648550.6823473,heart,-0.11484,-0.3089777316186567,tracking
1754648550.7136395,heart,-0.11327999999999999,-0.3783409817979563,tracking
1754648550.7453802,heart,-0.11327999999999999,-0.45311999999999997,tracking
1754648550.7766323,heart,-0.11015999999999998,-0.2908902824970813,tracking
1754648550.808283,heart,-0.11015999999999998,-0.4406399999999999,tracking
1754648550.8398244,heart,-0.10703000000000001,-0.27926776724568175,tracking
1754648550.8712971,heart,-0.10547000000000001,-0.34752980864506133,tracking
1754648550.9024806,heart,-0.10547000000000001,-0.42188000000000003,tracking
1754648550.932867,heart,-0.10233999999999999,-0.2548503312671625,tracking
1754648550.965759,heart,-0.10233999999999999,-0.40935999999999995,tracking
1754648550.9963977,heart,-0.10077999999999998,-0.32674598935474797,tracking
1754648551.026852,heart,-0.10077999999999998,-0.4031199999999999,tracking
1754648551.0589478,heart,-0.09766000000000002,-0.24482702481058005,tracking
1754648551.0889883,heart,-0.09766000000000002,-0.3906400000000001,tracking
1754648551.1203072,heart,-0.09609000000000001,-0.30916579532737953,tracking
1754648551.155669,heart,-0.09375,-0.275740253779042,tracking
1754648551.1829474,heart,-0.09375,-0.375,tracking
1754648551.213394,heart,-0.09140999999999999,-0.2503559242611701,tracking
1754648551.2488363,heart,-0.09140999999999999,-0.36563999999999997,tracking
1754648551.2769861,heart,-0.08983999999999998,-0.2757005642463296,tracking
1754648551.3073387,heart,-0.08672000000000002,-0.1926921821095319,tracking
1754648551.3387337,heart,-0.08672000000000002,-0.3468800000000001,tracking
1754648551.3701887,heart,-0.08594000000000002,-0.3065640529969984,tracking
1754648551.4014366,heart,-0.08359,-0.22155225410680268,tracking
1754648551.4333668,heart,-0.08359,-0.33436,tracking
1754648551.4635544,heart,-0.08202999999999999,-0.25060474631958013,tracking
1754648551.4953852,heart,-0.08046999999999999,-0.24836626778919582,tracking
1754648551.5274765,heart,-0.08046999999999999,-0.32187999999999994,tracking
1754648551.558632,heart,-0.07890999999999998,-0.24053250920221889,tracking
1754648551.5906572,heart,-0.07890999999999998,-0.3156399999999999,tracking
1754648551.6205535,heart,-0.07656000000000002,-0.18833227235753097,tracking
1754648551.6511588,heart,-0.07578000000000001,-0.26489134737629305,tracking
1754648551.684683,heart,-0.07578000000000001,-0.30312000000000006,tracking
1754648551.7147777,heart,-0.07344,-0.17712787159539198,tracking
1754648551.7458992,heart,-0.07344,-0.29376,tracking
1754648551.777243,heart,-0.07266,-0.25331192271707287,tracking
1754648551.8080316,heart,-0.07030999999999998,-0.16674979502388837,tracking
1754648551.8390534,heart,-0.07030999999999998,-0.28123999999999993,tracking
1754648551.870535,heart,-0.06952999999999998,-0.24095532122111715,tracking
1754648551.9013922,heart,-0.06952999999999998,-0.2781199999999999,tracking
1754648551.9332423,heart,-0.06719000000000003,-0.15855626286595684,tracking
1754648551.9630902,heart,-0.06641000000000002,-0.2264412103106453,tracking
1754648551.996236,heart,-0.06641000000000002,-0.2656400000000001,tracking
1754648552.0258827,heart,-0.06406,-0.13733949094067316,tracking
1754648552.0574532,heart,-0.06172,-0.13570002899951625,tracking
1754648552.0890849,heart,-0.06172,-0.24688,tracking
1754648552.1196709,heart,-0.06172,-0.24688,tracking
1754648552.1511707,heart,-0.06015999999999999,-0.16635396185286072,tracking
1754648552.1814132,heart,-0.06015999999999999,-0.24063999999999997,tracking
1754648552.2127662,heart,-0.05936999999999998,-0.1996845698990138,tracking
1754648552.2447164,heart,-0.05936999999999998,-0.2374799999999999,tracking
1754648552.2755466,heart,-0.057030000000000025,-0.11427038906203113,tracking
1754648552.3074186,heart,-0.057030000000000025,-0.2281200000000001,tracking
1754648552.3385184,heart,-0.057030000000000025,-0.2281200000000001,tracking
1754648552.370081,heart,-0.05547000000000002,-0.14774154294735709,tracking
1754648552.401224,heart,-0.05547000000000002,-0.22188000000000008,tracking
1754648552.4318697,heart,-0.05391000000000001,-0.13928381459179362,tracking
1754648552.4629815,heart,-0.05391000000000001,-0.21564000000000005,tracking
1754648552.4943802,heart,-0.05234,-0.13435706961486985,tracking
1754648552.526489,heart,-0.05234,-0.20936,tracking
1754648552.557567,heart,-0.05077999999999999,-0.12782524464902156,tracking
1754648552.5892625,heart,-0.05077999999999999,-0.20311999999999997,tracking
1754648552.6204112,heart,-0.05077999999999999,-0.20311999999999997,tracking
1754648552.6511722,heart,-0.049219999999999986,-0.1208096598228192,tracking
1754648552.6821768,heart,-0.04843999999999998,-0.15602374599171023,tracking
1754648552.7123325,heart,-0.04843999999999998,-0.19375999999999993,tracking
1754648552.7439504,heart,-0.04687999999999998,-0.1135112426196128,tracking
1754648552.7743967,heart,-0.04609000000000002,-0.14543900298353402,tracking
1754648552.8058794,heart,-0.04609000000000002,-0.18436000000000008,tracking
1754648552.8373787,heart,-0.044530000000000014,-0.10383283731209957,tracking
1754648552.8688693,heart,-0.044530000000000014,-0.17812000000000006,tracking
1754648552.9003966,heart,-0.044530000000000014,-0.17812000000000006,tracking
1754648552.9311805,heart,-0.04297000000000001,-0.0958662190106645,tracking
1754648552.9620044,heart,-0.04297000000000001,-0.17188000000000003,tracking
1754648552.9923468,heart,-0.042190000000000005,-0.13020002137272607,tracking
1754648553.023292,heart,-0.042190000000000005,-0.16876000000000002,tracking
1754648553.0545654,heart,-0.04141,-0.1282279722497521,tracking
1754648553.0860572,heart,-0.04141,-0.16564,tracking
1754648553.1177003,heart,-0.03983999999999999,-0.08493631482583686,tracking
1754648553.1483457,heart,-0.03983999999999999,-0.15935999999999995,tracking
1754648553.178604,heart,-0.03983999999999999,-0.15935999999999995,tracking
1754648553.2096937,heart,-0.03827999999999998,-0.07785411533742295,tracking
1754648553.2418027,heart,-0.03827999999999998,-0.15311999999999992,tracking
1754648553.2725904,heart,-0.03827999999999998,-0.15311999999999992,tracking
1754648553.3031967,heart,-0.036719999999999975,-0.0704250771196207,tracking
1754648553.333976,heart,-0.036719999999999975,-0.1468799999999999,tracking
1754648553.3644557,heart,-0.036719999999999975,-0.1468799999999999,tracking
1754648553.3954155,heart,-0.035160000000000025,-0.06505822525124427,tracking
1754648553.4269817,heart,-0.035160000000000025,-0.1406400000000001,tracking
1754648553.4591503,heart,-0.035160000000000025,-0.1406400000000001,tracking
1754648553.490024,heart,-0.03359000000000001,-0.05808167111989672,tracking
1754648553.522978,heart,-0.03359000000000001,-0.13436000000000003,tracking
1754648553.5525258,heart,-0.03359000000000001,-0.13436000000000003,tracking
1754648553.5850358,heart,-0.03359000000000001,-0.13436000000000003,tracking
1754648553.615669,heart,-0.032810000000000006,-0.09304615885122765,tracking
1754648553.6463823,heart,-0.032810000000000006,-0.13124000000000002,tracking
1754648553.6832862,heart,-0.03203,-0.09641599782926094,tracking
1754648553.7090304,heart,-0.03125,-0.07955286972466852,tracking
1754648553.7405543,heart,-0.03125,-0.125,tracking
1754648553.7716582,heart,-0.030469999999999997,-0.08426407714301029,tracking
1754648553.8030517,heart,-0.030469999999999997,-0.12187999999999999,tracking
1754648553.832857,heart,-0.030469999999999997,-0.12187999999999999,tracking
1754648553.8641942,heart,-0.029689999999999994,-0.08142425478172202,tracking
1754648553.8951018,heart,-0.029689999999999994,-0.11875999999999998,tracking
1754648553.9269934,heart,-0.02890999999999999,-0.07895320559497004,tracking
1754648553.9605124,heart,-0.02811999999999998,-0.07712694791199814,tracking
1754648553.98877,heart,-0.02811999999999998,-0.11247999999999991,tracking
1754648553.98877,heart,-0.02811999999999998,-0.11247999999999991,timeout
1754648553.98877,?,0.3375,6.0,tracking
1754648554.0200992,?,0.3375,1.35,tracking
1754648554.0511425,?,0.33828,1.3908093028685538,tracking
1754648554.0829961,?,0.33828,1.35312,tracking
1754648554.1140687,?,0.33906000000000003,1.3938937327358667,tracking
1754648554.1464133,?,0.33906000000000003,1.3562400000000001,tracking
1754648554.1764352,?,0.33906000000000003,1.3562400000000001,tracking
1754648554.2082243,?,0.33906000000000003,1.3562400000000001,tracking
1754648554.239864,?,0.30313,-0.49087178852660474,tracking
1754648554.270938,?,0.28828,0.43627835897278355,tracking
1754648554.3028631,?,0.28828,1.15312,tracking
1754648554.3336484,?,0.27578,0.49406351897028644,tracking
1754648554.3651857,?,0.27578,1.10312,tracking
1754648554.396673,?,0.27031000000000005,0.8206581413979283,tracking
1754648554.4279084,?,0.26953000000000005,1.040662567570662,tracking
1754648554.4586194,?,0.26953000000000005,1.0781200000000002,tracking
1754648554.489824,?,0.26405999999999996,0.7932988444553066,tracking
1754648554.521088,?,0.25781,0.731372692747656,tracking
1754648554.5524027,?,0.25781,1.03124,tracking
1754648554.584259,?,0.25312999999999997,0.7921554145866847,tracking
1754648554.6159167,?,0.24453000000000003,0.5706361422481993,tracking
1754648554.6476204,?,0.24453000000000003,0.9781200000000001,tracking
1754648554.6781826,?,0.24141,0.8125094741276411,tracking
1754648554.70953,?,0.24141,0.96564,tracking
1754648554.7404304,?,0.23280999999999996,0.5137675135990097,tracking
1754648554.772462,?,0.22968999999999995,0.772653987941942,tracking
1754648554.8021705,?,0.22968999999999995,0.9187599999999998,tracking
1754648554.83338,?,0.22343999999999997,0.593370395563094,tracking
1754648554.8645468,?,0.22343999999999997,0.8937599999999999,tracking
1754648554.8965025,?,0.21797,0.6151184481317906,tracking
1754648554.928099,?,0.21797,0.87188,tracking
1754648554.9588795,?,0.21328000000000003,0.6245666074374738,tracking
1754648554.9921308,?,0.20859000000000005,0.622789232644517,tracking
1754648555.0220847,?,0.20859000000000005,0.8343600000000002,tracking
1754648555.0525606,?,0.20155999999999996,0.4602283772344956,tracking
1754648555.0841894,?,0.19999999999999996,0.7260169050436823,tracking
1754648555.1158905,?,0.19999999999999996,0.7999999999999998,tracking
1754648555.1495514,?,0.19374999999999998,0.49648685403445236,tracking
1754648555.1774583,?,0.19062,0.5942420052968835,tracking
1754648555.2096174,?,0.19062,0.76248,tracking
1754648555.2405043,?,0.19062,0.76248,tracking
1754648555.2741086,?,0.18516,0.4969217955685461,tracking
1754648555.3023002,?,0.18203000000000003,0.5615808328541002,tracking
1754648555.3327284,?,0.17734000000000005,0.4781597755925579,tracking
1754648555.3633618,?,0.17734000000000005,0.7093600000000002,tracking
1754648555.3947065,?,0.17344000000000004,0.5071252921981603,tracking
1754648555.4259207,?,0.17344000000000004,0.6937600000000002,tracking
1754648555.4564052,?,0.16874999999999996,0.44422651441799654,tracking
1754648555.4871197,?,0.16874999999999996,0.6749999999999998,tracking
1754648555.51727,?,0.16405999999999998,0.4229098668353643,tracking
1754648555.550972,?,0.16093999999999997,0.5048954118679073,tracking
1754648555.5790644,?,0.16093999999999997,0.6437599999999999,tracking
1754648555.609747,?,0.15547,0.3544642762564896,tracking
1754648555.6411996,?,0.15547,0.62188,tracking
1754648555.6725235,?,0.15391,0.540936681737224,tracking
1754648555.7038171,?,0.14922000000000002,0.37207386964306266,tracking
1754648555.7347343,?,0.14922000000000002,0.5968800000000001,tracking
1754648555.7666464,?,0.14688,0.4775303322400612,tracking
1754648555.796795,?,0.14297000000000004,0.3773429981336809,tracking
1754648555.8284886,?,0.14297000000000004,0.5718800000000002,tracking
1754648555.8602004,?,0.13827999999999996,0.3312784055214268,tracking
1754648555.89099,?,0.13827999999999996,0.5531199999999998,tracking
1754648555.9216354,?,0.13671999999999995,0.4705226265015244,tracking
1754648555.9548721,?,0.13671999999999995,0.5468799999999998,tracking
1754648555.9835126,?,0.13280999999999998,0.32646011737577885,tracking
1754648556.0145226,?,0.13280999999999998,0.5312399999999999,tracking
1754648556.04511,?,0.12968999999999997,0.36575599572852696,tracking
1754648556.0757568,?,0.12656,0.35304293382707763,tracking
1754648556.107552,?,0.12656,0.50624,tracking
1754648556.139706,?,0.12656,0.50624,tracking
1754648556.1689625,?,0.12344,0.3337959974248431,tracking
1754648556.2006807,?,0.12344,0.49376,tracking
1754648556.2312005,?,0.11953000000000003,0.2859491920099384,tracking
1754648556.2646775,?,0.11563000000000001,0.2877735135635583,tracking
1754648556.293939,?,0.11563000000000001,0.46252000000000004,tracking
1754648556.323776,?,0.11406000000000005,0.37731087043030304,tracking
1754648556.356211,?,0.11406000000000005,0.4562400000000002,tracking
1754648556.388249,?,0.11094000000000004,0.2976833446199867,tracking
1754648556.4211543,?,0.11094000000000004,0.44376000000000015,tracking
1754648556.449305,?,0.10858999999999996,0.309141519907172,tracking
1754648556.4799004,?,0.10858999999999996,0.43435999999999986,tracking
1754648556.5115263,?,0.10546999999999995,0.2739004244283779,tracking
1754648556.5433738,?,0.10546999999999995,0.4218799999999998,tracking
1754648556.5756674,?,0.10313000000000005,0.3038295922450566,tracking
1754648556.6065822,?,0.10313000000000005,0.4125200000000002,tracking
1754648556.6374533,?,0.10077999999999998,0.2889357317949037,tracking
1754648556.6679363,?,0.10077999999999998,0.4031199999999999,tracking
1754648556.6988702,?,0.09765999999999997,0.2393494575555309,tracking
1754648556.729461,?,0.09453,0.22464234655942555,tracking
1754648556.7616305,?,0.09453,0.37812,tracking
